claim_number,age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present,liab_prct,channel,police_report,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,total_claim,injury_claim,policy deductible,annual premium,days open,form defects,fraud reported
8273664,44,M,1,89,80561.6,1,1,Own,20165,11/13/2024,Wednesday,Highway,0,0,21,Phone,1,3,Medium,49584.22238,gray,47665.79269,7193.215579,1000,1152.4,6.924367299,3,N
8792064,52,F,1,70,82292.8,1,1,Rent,50035,9/12/2023,Tuesday,Parking Lot,0,0,14,Phone,1,8,Compact,28494.95994,gray,34879.35173,6669.939824,500,1229.16,10.04717681,0,N
9020160,41,M,1,64,80561.6,1,0,Rent,20156,6/22/2023,Thursday,Local,2,0,20,Phone,1,3,Large,24455.90722,red,32964.01489,7713.185245,500,1706.79,10.26960072,8,N
9206784,58,M,1,86,82292.8,0,1,Own,20106,8/21/2024,Wednesday,Local,1,0,93,Phone,0,4,Large,14203.39611,silver,34878.65574,3798.774361,500,885.08,8.619270212,2,N
9745920,42,M,0,68,93347.2,1,0,Own,80034,3/24/2024,Sunday,Highway,0,1,2,Phone,1,3,Large,11534.5613,gray,30124.33636,2245.716441,1000,986.53,8.042216093,3,N
10305792,48,M,1,94,80561.6,0,1,Rent,85067,5/12/2024,Sunday,Parking Lot,3,0,0,Phone,1,6,Compact,25215.6433,white,17997.97862,4501.841953,500,1722.95,8.096150872,2,N
10679040,35,F,0,87,86892.8,1,1,Own,20156,11/23/2023,Thursday,Parking Lot,0,0,92,Phone,0,1,Large,19600.90487,gray,18686.10785,5627.615502,500,767.14,8.064835853,4,N
11840256,27,M,0,87,82292.8,1,1,Rent,85054,12/5/2024,Thursday,Highway,0,0,57,Phone,1,2,Medium,25604.80108,black,26180.26783,4214.161394,1000,2047.59,9.784155061,4,N
11964672,43,M,0,32,20169.6,1,1,Own,50032,9/1/2023,Friday,Local,0,0,6,Phone,0,6,Large,11544.57147,blue,28746.61543,3630.172038,2000,1371.78,9.188036472,6,Y
12047616,65,M,1,73,26795.2,0,1,Own,20144,2/24/2023,Friday,Local,0,1,22,Phone,0,6,Compact,34869.33691,black,21577.29777,7656.655706,2000,932.14,8.850708118,3,Y
13167360,53,F,0,78,163536.0,1,0,Own,0,8/13/2024,Tuesday,Parking Lot,0,0,68,Phone,0,7,Medium,25747.59643,silver,28683.68958,3435.867014,500,865.33,7.876778029,9,N
13436928,55,M,0,86,34105.6,1,0,Own,15045,6/17/2024,Monday,Highway,0,1,69,Phone,0,2,Compact,10736.03065,blue,48844.29531,4683.967849,2000,1134.08,10.47431442,6,Y
14162688,53,M,1,92,43515.2,1,0,Own,80021,7/24/2023,Monday,Highway,0,1,76,Phone,1,3,Large,14621.55121,white,23206.44925,2961.131957,2000,694.45,10.53081735,5,Y
14722560,68,F,1,66,37552.0,0,1,Rent,15012,9/21/2024,Saturday,Local,1,1,97,Phone,1,7,Medium,26014.27743,white,19733.7098,2439.667767,1000,1194.0,9.180571971,1,Y
14743296,23,F,0,80,150181.0,1,0,Rent,15021,11/27/2024,Wednesday,Local,0,0,99,Phone,1,3,Compact,50337.8293,gray,32663.07309,1625.777507,1000,1248.25,8.577774108,1,N
14867712,43,F,1,88,160162.0,1,0,Own,85068,12/23/2024,Monday,Local,0,0,84,Phone,1,5,Compact,37125.67225,gray,33959.29759,1694.017873,500,1338.54,9.532174967,5,N
15199488,37,F,1,78,87776.0,1,1,Own,80011,4/24/2023,Monday,Local,0,0,43,Phone,1,4,Medium,38455.01501,gray,29864.72945,3659.682727,500,806.31,8.176495295,7,N
15303168,52,F,1,69,160162.0,0,0,Own,80013,2/18/2023,Saturday,Parking Lot,5,0,76,Phone,1,4,Medium,17243.70739,white,45190.14619,3760.108962,500,947.75,8.786623863,3,N
15323904,48,F,1,80,95941.0,0,0,Own,50049,4/3/2024,Wednesday,Parking Lot,1,0,86,Phone,0,6,Compact,12917.2572,blue,13553.05598,5708.055749,2000,1018.73,8.689523936,6,N
15780096,45,F,0,41,87776.0,1,1,Own,85005,6/29/2024,Saturday,Local,0,0,74,Phone,0,4,Large,24722.50125,gray,50905.8586,4486.818427,1000,1086.48,10.7964143,6,N
15925248,41,M,1,91,19408.0,1,0,Own,15057,12/9/2023,Saturday,Local,0,0,76,Phone,0,6,Medium,25179.98403,red,10762.97406,4584.123661,2000,765.64,8.893795219,3,Y
15987456,23,F,1,64,150181.0,1,0,Own,80034,9/3/2023,Sunday,Highway,0,0,36,Phone,1,3,Compact,23685.50367,gray,6219.439115,4753.01309,2000,1327.41,9.221183782,3,N
16671744,51,M,0,73,150181.0,1,0,Rent,50044,6/2/2023,Friday,Parking Lot,0,0,32,Phone,1,5,Medium,8302.884838,blue,12833.60782,4101.351151,2000,995.56,10.25876605,1,N
16962048,54,F,1,30,163820.8,1,0,Rent,50038,10/11/2023,Wednesday,Local,1,0,24,Phone,1,4,Compact,22710.86772,red,18852.53509,3121.382598,1000,1377.94,9.434962585,3,N
17293824,48,M,1,52,150181.0,0,1,Rent,20152,9/25/2024,Wednesday,Local,0,0,17,Phone,0,6,Medium,15995.36838,other,19570.05302,6269.606997,500,1259.02,9.221813141,6,N
17563392,46,M,0,83,95941.0,1,0,Rent,50027,8/24/2024,Saturday,Local,0,0,0,Phone,1,4,Large,57172.22455,other,54261.1606,4580.849745,500,1399.27,8.470496578,2,N
17687808,55,M,1,50,160162.0,1,1,Own,20160,10/3/2024,Thursday,Local,0,0,52,Phone,1,2,Large,26349.40418,white,17093.35733,4793.678945,500,1365.46,7.699852647,2,N
18620928,53,M,0,59,160162.0,0,1,Rent,85051,10/6/2024,Sunday,Highway,0,0,52,Phone,1,5,Large,27627.86559,red,17203.42597,3396.363297,500,1203.17,9.03712699,0,N
18703872,77,M,1,83,95941.0,1,0,Rent,80024,7/10/2024,Wednesday,Local,0,1,36,Phone,1,3,Medium,45498.18177,red,35390.50774,2293.342919,2000,1212.12,9.159244202,6,N
18994176,24,F,1,98,30833.6,0,1,Own,85073,11/25/2023,Saturday,Parking Lot,1,1,81,Phone,0,6,Compact,14976.48873,black,15994.91383,4401.706538,500,922.67,8.947221237,4,Y
19035648,43,F,0,75,80185.6,1,1,Own,85030,11/8/2023,Wednesday,Parking Lot,1,0,35,Phone,0,2,Compact,15503.9907,black,17054.73409,11319.60982,500,1195.01,7.321504282,2,N
19367424,43,M,1,81,160184.0,1,0,Own,15012,8/28/2023,Monday,Local,2,1,21,Phone,1,1,Compact,17059.55326,black,47036.35003,3451.848241,1000,1403.9,10.30976206,3,N
19450368,53,F,1,60,30833.6,0,0,Own,20148,12/21/2023,Thursday,Local,0,0,32,Phone,0,10,Large,32348.74069,other,29288.44716,4496.81883,2000,1554.86,7.763337136,9,Y
19885824,62,M,0,42,96035.2,1,0,Rent,15010,2/23/2024,Friday,Parking Lot,0,0,15,Phone,1,4,Large,23157.78558,other,10789.29226,7768.325519,2000,1724.46,8.94770139,2,N
20134656,22,F,0,86,149433.6,1,0,Rent,85051,10/26/2024,Saturday,Local,1,1,43,Phone,1,4,Large,26475.48716,blue,9013.200049,5503.953904,500,1757.21,9.735575698,7,N
20279808,63,F,1,67,166299.2,0,1,Rent,85028,6/19/2023,Monday,Local,1,1,94,Phone,1,4,Medium,32128.95358,gray,27829.58373,10465.63288,1000,802.24,9.713553156,4,N
20507904,45,F,1,71,160883.2,0,0,Own,20132,2/18/2023,Saturday,Local,0,0,10,Phone,1,2,Medium,15690.94509,silver,53232.68784,2123.455627,500,1090.03,9.319328295,5,N
20860416,29,F,0,55,93876.8,1,0,Rent,85015,1/9/2024,Tuesday,Local,0,0,3,Phone,0,5,Large,10840.19058,gray,20525.79757,6503.598195,1000,1191.8,8.863160238,5,N
21067776,53,F,1,68,93496.0,1,0,Own,85003,2/3/2023,Friday,Highway,0,0,73,Phone,0,5,Large,42925.0554,red,39407.10066,6560.484083,2000,1459.93,9.603453897,8,N
21275136,50,M,1,59,80833.6,0,1,Own,80021,2/5/2023,Sunday,Local,2,1,32,Phone,1,7,Compact,25435.13215,red,21765.28198,4850.013982,2000,1398.46,9.934635407,1,N
22187520,59,M,1,81,95219.2,0,1,Rent,85046,1/9/2023,Monday,Parking Lot,3,0,100,Phone,1,4,Compact,19650.84767,blue,30113.38033,4409.993546,1000,1306.78,7.654032482,3,N
22228992,40,M,0,59,80833.6,1,1,Rent,20132,5/20/2023,Saturday,Parking Lot,0,0,53,Phone,1,6,Medium,17408.78599,blue,25028.08174,6007.476149,1000,1538.6,9.008098161,3,N
22291200,38,F,1,76,18176.0,1,1,Rent,15010,3/20/2023,Monday,Local,1,0,51,Phone,1,4,Large,27802.00044,gray,5550.720827,3291.487946,1000,1354.5,9.737468258,5,Y
22477824,34,M,0,74,18176.0,0,1,Own,80015,6/11/2023,Sunday,Parking Lot,1,0,86,Phone,1,8,Large,12294.58633,gray,22973.22882,2515.286561,1000,949.44,8.545785264,8,Y
22519296,60,M,0,71,165488.0,0,1,Own,20124,6/23/2024,Sunday,Local,0,1,1,Phone,0,5,Medium,5477.839167,gray,12035.63239,2026.468383,2000,977.4,8.784291821,1,N
22685184,37,F,1,60,157792.0,1,0,Own,85017,3/23/2024,Saturday,Local,2,0,76,Phone,1,5,Compact,15105.36522,other,22205.70466,7527.844832,500,1187.53,8.034524615,3,N
24157440,50,M,1,69,42620.8,1,0,Own,85013,6/12/2023,Monday,Local,0,0,1,Phone,1,6,Compact,8303.065932,white,18538.4525,7762.016782,2000,1836.02,8.987906851,4,Y
25837056,46,F,1,76,80833.6,0,1,Rent,50054,2/12/2024,Monday,Parking Lot,0,0,73,Phone,1,5,Large,6906.532255,black,12745.16368,4296.61233,500,1532.8,9.962441847,6,N
27060480,36,M,1,54,80833.6,1,1,Own,20105,*,*,Local,0,0,80,Phone,1,5,Large,18925.20554,white,17865.00762,3173.067568,1000,1164.97,10.28876143,4,N
27765504,31,F,1,76,80833.6,1,1,Own,85017,8/31/2024,Saturday,Local,0,0,49,Phone,1,7,Medium,12191.15147,black,22113.15778,4517.233987,500,1251.16,9.344463166,8,N
29009664,49,M,1,82,21312.8,1,1,Own,20146,4/6/2023,Thursday,Highway,2,0,2,Phone,1,4,Large,29722.52219,red,22321.9391,4997.802377,1000,1526.61,9.58068656,4,Y
29424384,52,F,1,45,21312.8,1,1,Own,85017,12/24/2023,Sunday,Local,0,0,5,Phone,0,5,Compact,15801.48714,red,28407.7968,4231.124069,500,1433.24,9.516380731,3,Y
29569536,34,M,1,61,99016.0,0,0,Own,50036,2/20/2023,Monday,Local,0,0,98,Phone,0,7,Medium,18981.99702,silver,50188.23601,7100.97818,500,1135.43,7.916400706,3,N
31290624,46,F,0,80,99016.0,1,0,Own,50008,12/18/2023,Monday,Local,0,0,50,Phone,0,5,Compact,20069.5488,other,22344.62395,3254.232783,1000,1677.26,8.758863579,5,N
31933440,36,M,1,51,87347.2,1,1,Own,15010,9/17/2023,Sunday,Local,0,0,51,Phone,0,4,Large,16041.39282,blue,11406.54702,4168.514175,1000,1008.79,9.85814333,4,N
32057856,49,M,1,71,92268.8,1,1,Rent,85020,7/8/2023,Saturday,Local,0,0,53,Phone,1,2,Compact,17161.59931,white,19203.75685,3160.49478,1000,1141.1,9.851576676,4,N
32120064,50,M,1,78,142587.2,1,1,Rent,15033,11/14/2024,Thursday,Highway,0,0,3,Phone,1,6,Compact,40803.46741,black,25346.22732,3316.314729,1000,1397.0,9.356110163,3,N
32140800,34,M,0,60,87347.2,1,1,Rent,15025,4/7/2024,Sunday,Highway,0,0,16,Phone,1,6,Large,21041.9807,other,23428.43261,4232.485332,1000,1664.66,7.949195861,5,N
32451840,47,F,1,90,92268.8,1,1,Own,85077,1/23/2023,Monday,Local,0,0,12,Phone,0,4,Large,9946.42064,blue,11089.26866,5272.923584,500,1339.39,8.632953707,2,N
32804352,30,M,0,90,92268.8,1,1,Rent,80038,11/19/2023,Sunday,Highway,3,0,6,Phone,1,5,Medium,29511.37485,silver,36654.69837,3178.30613,1000,830.31,8.530392974,2,N
33426432,46,M,1,64,87347.2,1,1,Rent,15009,5/4/2024,Saturday,Local,0,1,51,Phone,0,2,Medium,24089.74383,silver,29585.39788,5170.921934,500,1255.02,8.665386848,2,N
33675264,73,M,1,78,142587.2,0,1,Own,15031,10/6/2023,Friday,Parking Lot,0,1,5,Phone,0,4,Large,44784.42636,white,19511.0824,2532.794032,2000,836.11,9.26353936,7,N
34608384,42,M,1,76,142587.2,1,0,Rent,15001,3/13/2023,Monday,Highway,0,1,99,Phone,1,2,Medium,9774.418315,black,27165.73747,6061.562318,500,1616.26,9.189817459,5,N
35188992,42,F,1,88,92268.8,1,1,Rent,80025,12/14/2023,Thursday,Local,0,0,14,Phone,1,4,Medium,9434.91958,red,28426.44975,7503.636135,500,895.14,9.01260775,4,N
35458560,33,M,0,68,87347.2,1,1,Own,20111,6/13/2023,Tuesday,Highway,0,0,50,Phone,0,4,Medium,6706.8789,gray,37808.10061,4615.492922,2000,1767.02,8.609977842,1,N
35728128,41,M,1,90,87347.2,1,1,Own,80110,6/18/2024,Tuesday,Local,3,0,99,Phone,1,9,Medium,14893.51844,other,17051.11436,5873.266623,2000,1223.39,8.90462882,4,N
35956224,42,F,1,74,92268.8,0,1,Own,85080,10/24/2023,Tuesday,Highway,0,1,50,Phone,1,3,Compact,13315.45646,white,26496.48807,5508.853205,2000,1539.06,8.913363552,3,N
36619776,29,F,0,63,153880.0,0,0,Rent,80003,5/20/2023,Saturday,Local,1,0,4,Phone,1,9,Large,19814.95786,blue,14094.95024,4908.570052,500,1216.24,9.738797765,2,N
36681984,31,M,1,79,154940.8,0,0,Rent,50005,11/13/2023,Monday,Parking Lot,0,0,95,Phone,0,5,Medium,25443.74268,black,31095.10759,6571.015129,500,1484.72,8.024475659,4,N
38029824,36,F,1,71,153880.0,1,1,Own,15050,12/27/2024,Friday,Local,0,1,1,Phone,0,5,Large,43842.45996,blue,21130.87317,4945.670379,500,1122.95,8.829826731,4,N
38195712,42,F,0,82,165512.0,0,1,Own,80025,12/12/2023,Tuesday,Local,0,0,80,Phone,1,4,Compact,15049.24483,gray,26792.08469,4171.089322,1000,935.77,8.150799484,7,N
38278656,56,M,1,79,153315.2,1,0,Own,85067,9/24/2023,Sunday,Highway,0,1,24,Phone,0,3,Medium,17465.58278,red,5878.604238,2725.738036,2000,1192.04,9.639522112,6,N
38693376,45,M,0,58,154940.8,1,1,Own,15055,3/12/2023,Sunday,Local,0,0,98,Phone,1,2,Large,21460.90514,white,39325.82476,6894.663993,2000,1509.04,11.02229557,2,N
38755584,25,M,1,50,153315.2,0,1,Rent,80046,1/23/2023,Monday,Parking Lot,0,0,64,Phone,1,10,Medium,18367.32831,red,26908.69906,2965.778464,1000,1267.4,8.146484091,4,N
38900736,51,M,1,52,82908.8,1,0,Own,80045,7/10/2023,Monday,Highway,3,1,100,Phone,1,1,Compact,16898.79315,silver,58195.16421,2802.855781,500,1698.51,7.069053339,3,N
39730176,36,M,1,36,153880.0,0,1,Own,85077,12/25/2023,Monday,Parking Lot,0,1,33,Phone,0,3,Medium,19882.87184,red,24420.46075,3973.229788,500,1427.46,8.325826687,5,N
40207104,53,F,1,65,23547.2,0,1,Rent,20107,11/5/2023,Sunday,Parking Lot,0,0,100,Phone,1,1,Medium,31949.19379,gray,17480.18971,949.9655652,500,484.67,8.808810561,3,Y
42882048,57,M,1,38,153880.0,0,1,Rent,20136,11/13/2024,Wednesday,Local,0,0,36,Phone,0,3,Large,31651.94796,gray,7360.833147,4907.600579,2000,1155.97,10.1599839,4,N
43296768,56,F,1,74,153880.0,1,1,Own,85034,5/22/2024,Wednesday,Parking Lot,1,*,99,Phone,1,7,Large,20996.98068,white,19913.83833,5233.31299,500,1518.54,10.03226507,5,N
44022528,47,M,1,84,153880.0,0,1,Rent,80020,5/19/2023,Friday,Highway,0,0,79,Phone,1,2,Large,25755.24343,red,37226.84763,3313.687085,500,1257.04,8.053373233,4,N
44064000,47,M,1,94,154940.8,1,1,Rent,80016,3/30/2024,Saturday,Highway,2,0,50,Phone,0,6,Compact,13585.66232,black,16606.66316,5906.888325,2000,719.52,9.389273894,4,N
44914176,37,F,0,79,153880.0,1,0,Rent,20134,1/11/2024,Thursday,Local,2,0,48,Phone,1,5,Medium,12757.10558,other,45276.59036,6519.90315,2000,1482.57,9.299705945,5,N
44934912,36,F,0,89,154940.8,1,1,Own,20120,5/9/2023,Tuesday,Local,1,1,46,Phone,0,3,Large,24637.85238,silver,18365.8813,2497.30984,1000,954.18,9.480302604,5,N
46324224,55,F,1,93,153880.0,0,0,Own,85066,10/31/2023,Tuesday,Local,0,0,67,Phone,1,6,Compact,3654.602724,other,15167.47583,6425.394759,1000,1387.35,10.614064,3,N
46490112,53,F,1,90,165512.0,0,0,Rent,50026,11/10/2023,Friday,Local,0,1,1,Phone,0,6,Medium,20970.23982,black,16478.30358,7671.964724,1000,1851.78,9.910648707,8,N
46614528,47,F,1,74,154940.8,1,1,Own,85017,3/4/2024,Monday,Parking Lot,1,0,35,Phone,1,4,Compact,22795.65288,silver,9868.695123,3836.283188,2000,1253.44,10.13113803,3,N
46759680,39,F,1,72,38622.4,0,1,Rent,50051,1/4/2024,Thursday,Parking Lot,0,0,60,Phone,0,8,Large,24109.45197,gray,20033.42832,2765.916372,500,1367.99,8.877607164,4,Y
46780416,38,F,1,62,88190.4,1,1,Own,50020,10/20/2024,Sunday,Parking Lot,0,0,50,Phone,0,1,Compact,29884.34958,gray,19460.83543,5389.893262,500,1594.37,8.85934874,7,N
47568384,39,F,1,70,90862.4,1,1,Own,15018,1/14/2024,Sunday,Local,5,0,13,Phone,1,4,Compact,31699.95662,red,12906.08821,3161.829505,2000,912.29,8.411057409,5,N
48169728,75,M,0,85,88190.4,1,1,Own,15012,7/23/2024,Tuesday,Local,0,0,98,Phone,1,4,Compact,56858.08257,white,13856.40127,3301.44308,500,1198.44,9.710191147,5,N
49393152,37,M,1,78,88190.4,0,0,Own,85055,5/28/2024,Tuesday,Local,0,0,100,Phone,0,3,Large,23126.14821,blue,26855.60839,5512.337319,2000,1112.04,9.262456088,3,N
49621248,35,F,1,63,10444.8,1,0,Own,20110,9/24/2024,Tuesday,Local,0,0,79,Phone,0,6,Medium,27883.08518,red,25967.1133,4739.423335,500,1042.56,10.94631249,2,N
49641984,37,F,1,82,37771.2,1,1,Rent,15021,6/23/2024,Sunday,Highway,0,1,12,Phone,1,3,Medium,32911.82593,other,20031.67587,3215.554457,2000,1263.48,8.952067589,4,Y
49911552,43,M,0,73,88190.4,1,1,Rent,85002,12/31/2023,Sunday,Parking Lot,2,0,21,Phone,1,7,Large,30426.32182,black,13353.9941,6193.33015,500,1006.99,8.798222041,4,N
50201856,31,M,0,80,90862.4,1,1,Rent,50037,7/30/2024,Tuesday,Parking Lot,0,0,1,Phone,0,6,Medium,13355.42015,black,14248.75817,3276.812656,2000,1066.7,9.253152209,4,N
50264064,53,M,0,96,92116.8,1,1,Own,20148,9/18/2024,Wednesday,Local,1,0,23,Phone,0,8,Large,21753.33522,silver,47886.40345,4705.687589,2000,1585.54,8.443439714,6,N
50367744,41,M,0,88,88190.4,1,1,Own,85077,4/7/2024,Sunday,Local,0,1,99,Phone,1,8,Compact,17672.9634,other,43378.02701,4319.010454,500,1246.03,9.118774846,7,N
50637312,64,F,0,88,10444.8,1,1,Own,15049,8/24/2023,Thursday,Highway,1,1,3,Phone,1,6,Medium,20779.9998,gray,31628.91757,3659.885286,1000,1007.0,7.562794128,3,N
50678784,66,F,1,89,17036.8,1,0,Rent,50011,3/21/2024,Thursday,Local,0,0,37,Phone,1,1,Medium,39512.10323,red,9417.515235,7737.338049,1000,1200.33,8.29183349,2,Y
50948352,32,F,1,59,95435.2,1,1,Own,20119,10/27/2024,Sunday,Parking Lot,1,0,97,Phone,1,3,Large,13093.88269,red,36271.33452,5652.384951,500,871.46,9.839503452,5,N
52897536,42,F,0,77,88190.4,1,1,Own,80017,12/21/2023,Thursday,Parking Lot,0,0,75,Phone,1,6,Large,27476.6407,black,25217.82864,6881.56002,1000,988.93,7.994186393,4,N
53063424,46,M,0,81,90862.4,1,0,Rent,80105,6/20/2024,Thursday,Parking Lot,0,0,72,Phone,1,4,Medium,27090.65665,blue,37807.16289,8937.202883,2000,1188.51,10.28601898,4,N
54514944,38,M,1,79,-1.6,0,1,Own,50044,2/9/2023,Thursday,Highway,0,1,1,Phone,1,2,Medium,13231.61627,blue,11807.14132,9912.868738,1000,1361.45,8.248503469,3,Y
55696896,57,M,0,70,24678.4,1,1,Own,50054,1/26/2024,Friday,Highway,0,0,27,Phone,0,10,Compact,13030.72495,silver,18265.14896,4096.884754,500,1093.83,9.510891533,0,Y
56090880,48,M,0,75,24678.4,1,1,Rent,15042,12/22/2023,Friday,Local,0,0,7,Phone,1,5,Compact,22339.54399,white,42810.3591,7752.365385,1000,1722.5,8.686621208,4,Y
56567808,35,F,1,70,24678.4,1,1,Own,80106,2/14/2023,Tuesday,Local,0,0,36,Phone,0,6,Large,41475.17903,gray,6911.514838,2895.949867,1000,1235.14,9.218601998,5,Y
56754432,21,M,1,67,48699.2,1,1,Rent,80028,7/1/2024,Monday,Local,0,0,21,Phone,0,8,Large,34328.55885,other,33625.2415,3132.841269,500,1383.49,9.744048377,3,N
57355776,39,F,1,72,24678.4,0,0,Own,50037,2/25/2024,Sunday,Parking Lot,1,0,37,Phone,0,4,Compact,25218.9267,black,26342.23381,6712.257337,1000,1503.21,8.544821247,3,Y
57542400,51,F,0,93,82908.8,0,1,Own,20148,4/28/2023,Friday,Parking Lot,1,0,22,Phone,1,5,Compact,22261.74836,silver,22967.4838,1242.740247,500,1564.43,9.181544917,6,N
58247424,49,M,0,89,82908.8,0,1,Own,80020,6/24/2023,Saturday,Local,0,0,20,Phone,1,2,Compact,42949.57431,red,20574.07721,2392.815622,1000,1200.09,8.640125051,5,N
58516992,40,F,1,88,82908.8,0,1,Rent,20134,8/1/2024,Thursday,Parking Lot,2,0,50,Phone,1,1,Medium,36520.93683,silver,9870.90427,6158.67733,1000,1361.45,9.225679116,2,N
58848768,31,F,0,80,82908.8,1,1,Own,50054,3/8/2023,Wednesday,Highway,0,0,89,Phone,0,2,Medium,14256.01367,red,12935.62819,3146.058019,2000,1453.61,9.850685327,4,N
58890240,30,F,1,82,19024.0,0,1,Rent,50049,10/23/2023,Monday,Parking Lot,0,0,73,Phone,1,4,Compact,11472.16185,blue,11674.89804,4723.02624,500,1672.88,8.504086351,3,Y
59574528,39,M,1,89,82908.8,1,0,Rent,15017,8/30/2023,Wednesday,Highway,0,1,92,Phone,1,5,Compact,43122.72914,gray,18013.87424,7417.68399,500,1533.71,8.727644512,4,N
59823360,35,F,1,74,19024.0,0,0,Own,80037,5/4/2024,Saturday,Local,1,0,64,Phone,1,4,Large,32253.37689,other,20017.9333,2721.855724,2000,1188.51,9.226365951,3,Y
60549120,59,F,1,61,82908.8,0,1,Own,20120,12/2/2023,Saturday,Parking Lot,0,0,57,Phone,1,4,Compact,20870.33257,black,12564.13544,2197.703156,1000,1310.8,8.438408354,3,N
